Explantion is not related to gender equality/ violence and discrimination  . ,,,,,,,,,,,
Explanation does not acknowledge the social/gender norm in the scenario,,,,,,,,,,,
"Explanation proposes a general solution or action (Example: They should get a divorce, he should explain to his father, he should explain to his friends, inform the police)",,,,,,,,,,,
"Explanation proposes a general reaction or response talks about giving permission (For example: They should let her go for the picnic, he should explain to his friends, she should ask/give him/her permission to work",,,,,,,,,,,
"Disagrees with gender inequitable position, gives no explanation. ",,,,,,,,,,,
Participants,Programme/ Cyclce ,Violence and tolerance of violence,,,,Manhood and Masculinity,,,Gender roles and responsibility,,
648,T1,,,,,Everyone has the right to play something,,,,,
649,T1,,,,Shoib should explain to his friends,He is only 6 and not mature. He should be allowed to play,She should be able to go out with her friends,,,,She should be allowed to do what she wants
650,T1,,,,He has to make a police complaint,,She should have been sent as it was one day only,She can do te job along with housework,She should go to school after she finishes the cooking,She can work ouside along with doing housework and taking care of house,She should also be able to go sometime
651,T1,,,Gauri should not do this,Shoib should not be sad about it,,She should be allowed to go out,Madhuri should work,,,Because daughter should be allowed to go for the picnic
652,T1,,,,He should tell them not to do this or they will be be beaten,,,,,,
653,T1,,,"No, She can wear the clothes that she likes. She should not change",,,,,,,
654,T1,,,,"Yes, Shohib should explain this to his friends.","No,they should let Vishal play with the Dolls. He would not play with them once grown up.","No, She should be allowed to go out. She is safe outside.","She should work, that way there will be sufficient money in th family.",,,
655,T1,,,"No, She can wear the clothes that she likes. She should not change","No, Shohib should explian to his friends. They too have sister and mother at home. How would they feel if someone lese treated them badly.","No, Vishal will not play with dolls once he grows up.","No, Priya shouls also be allowed to step out.","No,Madhuri shoud work",,Seema should also go to the trip.,"No, Sarika should work and also take care of the house."
656,T1,,,,,,,,"No, because girls should get education",,
657,T1,"No, he should explian her nicely","no, tushar should explain his father to not beat his mother . If they leave him and go to the village there will be misunnderstandings between them.",,"No, Shohib should explain his friends and ask not to do it.",,,,,,
658,T1,"No, she should not have done it",,,"No,we should treat girls like sisters and not tease them.",,,,,,
659,T1,,,,,,,,"No, both have right to education",,
660,T1,,,,"No,we should treat girls like sisters and not tease them.",,"No, Priyanka should be allowed to go out",,,No Seema should be allowed to go for the picnic,Sarika should take care of the house then work
661,T1,"No, firstly he needs to check if this is the truth",,,"No, Shohib should leave his friends","No, its his age to play. They should not interfere.",,,,,Women should also work
662,T2,Vinita'a husband should ask Vinita and explain\convince her.,What Tushar says is correct. They will be safe if they go to their village.,She likes to wear clothes as per her liking. She can do as she likes.,Shohib should patiently explain to his friends. Then his friends will listen to him.,,,If Madhuri wants to work then she can work.,,,
663,T0,Vinita's husband got angry because she had affair with neighbour.,,Gauri is too proud of her beauty.,Shohib does not like his friends teasing girls.,,Mother and Father should not suspect. They should allow her to go as she is their daughter.,Women should also work,,,"Seema wants to go for picnic, brother should take care on day."
664,T0,,,,,,,Madhuri should work.,,,"Since she has to go for apicnic, brother takes care of the baby."
665,T1,He should not have beaten Vinita. He should explain it to her.,,,"No, Shoaib should not remain calm. It is a crime to harass girls.",,Because she had been invited by the college for the program. She should have gone with her mother and brother.,,,,
666,T0,,,,,,,"No, Because she should do work.",,"Yes, Sarika should work, because she wants to start her business.","No, because a picnic is planned."
667,T1,There is no one around us like this. It will not happen,,,"No, They could be sometimes our sister.",,,Men do not get educated. They drink and create trouble. So mother should work.,"Yes, because he should learn.",NA,NA
668,T1,,,,"No, because he is giving a good thought.",,,"No, because she does not give money from her salary.",,,
669,T1,Can't say,,,,,,"No, she should go for work.",Can't say,"No, she should work",
670,T1,,,,"No, if Shoaib remains calm then his friends will tease him. He should threaten his friends so that nobody will tease him.",,,,,,
671,T1,,,Uncompleted sentence,,,,,,,
672,T1,,,,,,,,,,
673,T1,He should have not beaten her up but make her understand.,,,,"No. Even though he is playing with dolls he is still young. As he grows older, he will stop playing with dolls.",,,,,
674,T0,No. Suresh beats up Vineeta. ,,,,No. He is a small boy and therefore should be allowed to play.  ,,No. Madhuri should to to work. ,,,
675,T1,No. Vineeta had an affair with their neighbor. ,,,,,No. She desires to go out,No. Madhuri must also  work to fulfill the family's needs. ,,No. She should do housework and meet their needs,
676,T0,No. She was in love with the neighbor and so he beat her up.,No. Tushar told her mother that they should go to the village. ,No. She likes to be fashionable and so boys whistle on seeing her. ,No. Shoib stares at the girls along his friends every day.,,No. If Priya who is 19 year old steps out of the house then…,,No. Roshni is 19 and her brother is 15. They should take care of the younger children.,No. They are married for 6 months.,No. She has to go to Mahabaleshwar on Saturday and on the same day her mother has to go for work. 
677,T1,,,"No.Girls also have preferences. But the attitude of men is problematic.Hence, girls should dress modestly/be simple.  ",No. One should not talk much to girls. They should not be teased or followed. Shoaib is right. He should explain this to his friends. ,,,,,,Unclear Answer - No. Seema will get this opportunity only once a year. Her father should understand. (rest of the input unclear)
678,T1,,,,No. He should suggest to the girl to complain about this at home. ,,(Has not selected Yes/No) Her brother can also accompany her to the programme and protect her.,(Has not selected Yes/No) Amit and Rujuta should both do the job. It will be helpful for them. ,,,"No. Her brother can skip cricket for a day. As this is an annual trip, she should be given permission. "
679,T1,,(Has not selected Yes/No) I agree with Prathamesh.,,,,,,No. Neha's mother's behaviour is wrong. ,,
680,T1,,,,"No. Rohit should explain to them that they should not do this. If they do not stop, he should just ignore them.","No. He is still very young. He probably doesn''t know better and hence is behaving this way. Gradually as he grows up, his habits will change. ",No. Her brother can also accompany her to drop and pick her up. He is also responsible to keep her safe. ,"No. In the event that Amir loses his job, then what will be their source of income? If they both work and earn, all their family needs can be well taken care of and they can save money as well. ",,No. Women also have equal rights. He should allow her (Kamal) to work should there be a need. ,"No. The older brother can also look after the baby. He too has two hands, two feet, he can walk around and speak. He can choose to not play cricket for one, so that she (Manisha) can go for the trip. "
681,T1,,,No. She can do as she pleases. She has the right to equality. She should keep a lookout though.,"No. Rohit should explain to them that they should not do this. If they do not stop, he should just ignore them.","No. He is still very young. He probably doesn't know better and is hence behaving like this. Over a period of time, these habits will stop.",No. Nirmala's brother can also pick her up and drop her. This is also a way to keep her safe. ,,,No. She should be allowed to go to work. ,
